instrument_id,signal_date,session_date,arm,paid_bps,entry_price,stop_price,exit_date,exit_price,exit_reason,shares,net_r,per_dollar
WDC,2025-12-01,2025-12-02,C,6.545930613135500763691904865,160.7401505564041021165175648,140.7122469046277415535720308,2025-12-10,180.6313158918353942508099497,target,49,0.9931726096389054417251569783,0.123747
WDC,2025-12-01,2025-12-02,X,0,159.990000,139.9620963482236394370544660,2025-12-10,179.8817327715556522720507189,target,49,0.9932009419164231543399714153,0.124331
COPX,2025-12-02,2025-12-03,O,17.36766593672128671751113796,66.39511288982858868836366384,62.63864193985105293178331275,2025-12-12,70.14115857842407568220884714,target,266,0.9972247192855009014999314304,0.056421
COPX,2025-12-02,2025-12-03,A,0,66.280000,62.52352905002246424341964891,2025-12-12,70.02606279557866853474106139,target,266,0.9972292732893543435711736391,0.056519
COPX,2025-12-02,2025-12-03,C,0.7402472425790213931453105335,67.54499962987637871048930342,63.78852867989884295390895233,2025-12-22,71.29087443323779707749214378,target,266,0.9971792283882347722993495639,0.055457
COPX,2025-12-02,2025-12-03,X,0,67.470000,63.71352905002246424341964891,2025-12-22,71.21588594909330666819328312,target,266,0.9971821954634595568390896766,0.055519
MS,2025-12-03,2025-12-04,O,12.05372517506600849500631386,174.5301205372517506600849500,166.2400581736961357796216065,2026-01-05,182.7784025927685590809606689,target,120,0.9949601937589180150000486287,0.04726
MS,2025-12-03,2025-12-04,A,0,174.340000,166.0499376364443851195366565,2026-01-05,182.5883255041912646285338541,target,120,0.9949654348141176977783429379,0.047312
MS,2025-12-03,2025-12-04,C,0.8578045921139164498327281045,174.8649987132931118291253253,166.5749363497374969486619818,2026-01-05,183.1132042383463331252409367,target,120,0.9949509621681010913046244006,0.047169
MS,2025-12-03,2025-12-04,X,0,174.890000,166.5999376364443851195366565,2026-01-05,183.1381998114528769235689909,target,120,0.9949502729573215089447014963,0.047162
STCE,2025-12-03,2025-12-04,O,18.09576837416481069042316258,72.41079621380846325167037860,61.59099286611053754756383984,2025-12-16,61.52477489232624991144228216,stop,92,-1.006120071840157473489923048,-0.150337
STCE,2025-12-03,2025-12-04,A,0,72.280000,61.46019665230207429589346124,2025-12-16,61.39411930070707139381482293,stop,92,-1.006107075098463951536226691,-0.150607
STCE,2025-12-03,2025-12-04,C,13.30671989354624085163007318,75.14986693280106453759148368,64.33006358510313883348494492,2025-12-15,64.26090076979863337579540325,stop,92,-1.006392243285939284344867512,-0.144897
LHX,2025-12-09,2025-12-10,O,42.77651964484704698227829900,278.3054229123980013659728962,266.7289599178876642146121619,2025-12-11,289.6544383699080181261862522,target,86,0.9803525880825448966214858597,0.040779
LHX,2025-12-09,2025-12-10,A,0,277.120000,265.5435370054896628486392657,2025-12-10,288.4699455657190383383741821,target,86,0.9804329328484256880028572250,0.040957
LHX,2025-12-09,2025-12-10,C,1.656849490327881943721270085,286.7074952474897390637987139,275.1310322529794019124379796,2025-12-23,298.0499182590718690153044781,target,86,0.9797831182944919303703529665,0.039561
LHX,2025-12-09,2025-12-10,X,0,285.940000,274.3635370054896628486392657,2025-12-23,297.2830252047931850625797529,target,86,0.9798351370511139380172178978,0.039669
GDX,2025-12-16,2025-12-17,O,1.159689203293517337353589238,86.11998608372956047779195176,80.21591554622390119063458715,2026-01-06,92.01864821355839136531576073,target,169,0.9990839527335468905787907750,0.068494
GDX,2025-12-16,2025-12-17,A,0,86.110000,80.20592946249434071284263539,2026-01-06,92.00866271672766894573584493,target,169,0.9990840521393440147716807230,0.068501
GDX,2025-12-16,2025-12-17,C,0.5830563815520960876916797855,85.75499970847180922395195616,79.85092917096614993679459155,2025-12-26,91.65368328916019096373870019,target,169,0.9990875859658083592539404548,0.068785
GDX,2025-12-16,2025-12-17,X,0,85.830000,79.92592946249434071284263539,2026-01-06,91.72867917279584408531856606,target,169,0.9990868393804636122200747340,0.068725
GFI,2025-12-17,2025-12-18,O,30.54644190519289512388279217,44.27483199456952143907681864,40.32205680841621960265596699,2026-01-12,48.20590746995534393994064096,target,252,0.9945102593126231621136825785,0.088788
GFI,2025-12-17,2025-12-18,A,0,44.340000,40.38722481384669816357914835,2026-01-12,48.27104615344862093570705149,target,252,0.9945028412491561881146157224,0.088657
GFI,2025-12-17,2025-12-18,C,2.270663033605812897366030881,44.05000000000000000000000000,40.09722481384669816357914835,2026-01-12,47.98117663713815974335609536,target,252,0.9945358519020250626702701557,0.089244
GFI,2025-12-17,2025-12-18,X,0,44.170000,40.21722481384669816357914835,2026-01-12,48.10112264388731609881166341,target,252,0.9945221923215275973368959065,0.089
SAN,2025-12-22,2025-12-23,O,4.268032437046521553563807085,11.70499359795134443021766966,11.31703262112292904963643607,2026-01-05,12.08781956222146691915949820,target,2577,0.9867641003477420141564837869,0.032706
SAN,2025-12-22,2025-12-23,A,0,11.700000,11.31203902317158461941876641,2026-01-02,12.08282808469388102160858763,target,2577,0.9867695659071285977011642293,0.03272
SAN,2025-12-22,2025-12-23,C,4.231908590774439272111722387,11.82000000000000000000000000,11.43203902317158461941876641,2026-01-13,12.20277712927986828275508445,target,2577,0.9866382243107925439043815827,0.032384
SAN,2025-12-22,2025-12-23,X,0,11.820000,11.43203902317158461941876641,2026-01-13,12.20277712927986828275508445,target,2577,0.9866382243107925439043815827,0.032384
AMRX,2025-12-29,2025-12-30,O,23.20185614849187935034802784,12.93995359628770301624129931,12.34421025992990087782444546,2026-01-05,12.33944966977952297544194471,stop,1678,-1.007991008643894763434848796,-0.046407
AMRX,2025-12-29,2025-12-30,A,0,12.880000,12.28425666364219786158314615,2026-01-08,13.47054636630907178664731399,target,1678,0.9912764948736093575357645273,0.04585
AMRX,2025-12-29,2025-12-30,C,3.871467286101432442895857530,12.93000387146728610143244290,12.33426053510948396301558905,2026-01-05,12.32950378210712781802406742,stop,1678,-1.007984567702322144973681453,-0.046442
AMRX,2025-12-29,2025-12-30,X,0,12.880000,12.28425666364219786158314615,2026-01-08,13.47054636630907178664731399,target,1678,0.9912764948736093575357645273,0.04585
GDX,2025-12-30,2025-12-31,O,2.892681515765114260919872722,86.47000578536303153022852182,80.58702650299554444760443652,2026-01-09,92.34767894965710691974069373,target,169,0.9990980559647192311275425183,0.067974
GDX,2025-12-30,2025-12-31,A,0,86.470000,80.58702071763251291737591470,2026-01-09,92.34767316462647200149322497,target,169,0.9990980560212206390072736036,0.067974
